date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:51:24	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2265020b3f-239b%22	https://transvelo.github.io/robots.txt		(from )
15:51:24	489202/489202	---M-Z	200	added ('OK')	text/html	etag:W/%22606ef38c-776f2%22	https://transvelo.github.io/mytravel-html/html/home/	C:/My%20Web%20Sites/Template/transvelo.github.io/mytravel-html/html/home/index.html	(from )
15:51:25	2077/2077	---M--	200	added ('OK')	image/png	etag:%22606ef38c-81d%22	https://transvelo.github.io/mytravel-html/favicon.png	C:/My%20Web%20Sites/Template/transvelo.github.io/mytravel-html/favicon.png	(from https://transvelo.github.io/mytravel-html/html/home/)
15:51:25	54456/54456	---M-Z	200	added ('OK')	text/css	etag:W/%22606ef38c-d4b8%22	https://transvelo.github.io/mytravel-html/assets/vendor/font-awesome/css/fontawesome-all.min.css	C:/My%20Web%20Sites/Template/transvelo.github.io/mytravel-html/assets/vendor/font-awesome/css/fontawesome-all.min.css	(from https://transvelo.github.io/mytravel-html/html/home/)
15:51:25	7988/7988	---M-Z	200	added ('OK')	text/css	etag:W/%22606ef38b-1f34%22	https://transvelo.github.io/mytravel-html/assets/css/font-mytravel.css	C:/My%20Web%20Sites/Template/transvelo.github.io/mytravel-html/assets/css/font-mytravel.css	(from https://transvelo.github.io/mytravel-html/html/home/)
15:51:25	57987/57987	---M-Z	200	added ('OK')	text/css	etag:W/%22606ef38c-e283%22	https://transvelo.github.io/mytravel-html/assets/vendor/animate.css/animate.min.css	C:/My%20Web%20Sites/Template/transvelo.github.io/mytravel-html/assets/vendor/animate.css/animate.min.css	(from https://transvelo.github.io/mytravel-html/html/home/)
15:51:25	3881/3881	---M-Z	200	added ('OK')	text/css	etag:W/%22606ef38c-f29%22	https://transvelo.github.io/mytravel-html/assets/vendor/hs-megamenu/src/hs.megamenu.css	C:/My%20Web%20Sites/Template/transvelo.github.io/mytravel-html/assets/vendor/hs-megamenu/src/hs.megamenu.css	(from https://transvelo.github.io/mytravel-html/html/home/)
15:51:26	53583/53583	---M-Z	200	added ('OK')	text/css	etag:W/%22606ef38c-d14f%22	https://transvelo.github.io/mytravel-html/assets/vendor/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.css	C:/My%20Web%20Sites/Template/transvelo.github.io/mytravel-html/assets/vendor/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.css	(from https://transvelo.github.io/mytravel-html/html/home/)
15:51:26	14849/14849	---M-Z	200	added ('OK')	text/css	etag:W/%22606ef38c-3a01%22	https://transvelo.github.io/mytravel-html/assets/vendor/flatpickr/dist/flatpickr.min.css	C:/My%20Web%20Sites/Template/transvelo.github.io/mytravel-html/assets/vendor/flatpickr/dist/flatpickr.min.css	(from https://transvelo.github.io/mytravel-html/html/home/)
15:51:26	9803/9803	---M-Z	200	added ('OK')	text/css	etag:W/%22606ef38c-264b%22	https://transvelo.github.io/mytravel-html/assets/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	C:/My%20Web%20Sites/Template/transvelo.github.io/mytravel-html/assets/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://transvelo.github.io/mytravel-html/html/home/)
